title,year,location,project_id,publication_date
Gabriel López Chiñas Library / ROOTSTUDIO,2022,"Juchitán de Zaragoza, Mexico",992735,2022-11-27T15:00:00.000Z
Prazeres 37 House / Fragmentos,2020,"Lisboa, Portugal",990783,2022-11-27T13:00:00.000Z
Joy Garden Courtyard / Morag Myerscough ,2022,"Broomhall, United Kingdom",992793,2022-11-27T11:00:00.000Z
Framework House / Studio McW,2020,"London, United Kingdom",992792,2022-11-27T09:00:00.000Z
W39 House / ZLG Design,2018,"Ampang Jaya, Malaysia",992785,2022-11-27T06:00:00.000Z
Rose Park House / Studio-Gram,2021,"Rose Park, Australia",992780,2022-11-27T02:00:00.000Z
ECUT Office Building / Alidoost and Partners,2021,"Rasht, Iran",992546,2022-11-26T23:00:00.000Z
Sarang Nest House / Realrich Architecture Workshop,2022,"West Jakarta, Indonesia",992719,2022-11-26T21:00:00.000Z
Paamprokan Square / SHAU Indonesia,2021,"Pangandaran, Indonesia",992789,2022-11-26T19:00:00.000Z
AWESOME185 Office Building / Architects Group RAUM,2021,"Haeundae, South Korea",992650,2022-11-26T17:00:00.000Z
Ribeirão Preto Shared Fuel Base Office / Estúdio Cidade,2020,Brazil,992776,2022-11-26T15:00:00.000Z
Bully Hill House / Studio MM Architect,2019,"North Branch, United States",992783,2022-11-26T13:00:00.000Z
Multifunctional Accommodation / EVA architecten,2020,"Randwijk, The Netherlands",991949,2022-11-26T11:00:00.000Z
MOUT Venlo Coffee / Buro Moon,2022,"Venlo, The Netherlands",992615,2022-11-26T09:00:00.000Z
Shiva Stuthi Residence / Wright Inspires,2021,"Bengaluru, India",992769,2022-11-26T06:00:00.000Z
SOMA Lounge Office / Design Studio BYO,2022,"Gangnam-gu, South Korea",992790,2022-11-26T02:00:00.000Z
Soul Art Center / TEMP,2022,"Beijing, China",992654,2022-11-26T02:00:00.000Z
Metaverse Workpod / Design Studio BYO,2022,"Jung-gu, South Korea",992666,2022-11-25T22:00:00.000Z
TB House / HA&A Design,2022,Vietnam,992771,2022-11-25T20:00:00.000Z
Nakanoshima Museum of Art Osaka / Katsuhiko Endo Architect and Associates,2021,"Osaka, Japan",992779,2022-11-25T18:00:00.000Z
Sodon Lake House  / Temescal Creative,2022,"Bloomfield Hills, United States",992752,2022-11-25T16:00:00.000Z
House in Tróia / BICA Arquitectos,2022,Portugal,992688,2022-11-25T14:00:00.000Z
Hart Bakery / Spacon & X,2021,"København, Denmark",992667,2022-11-25T12:00:00.000Z
Science and Innovation Center VIZIUM / Audrius Ambrasas Architects,2022,"Ventspils, Latvia",992754,2022-11-25T10:00:00.000Z
Zibo OCT Art Center / Studio Zhu-Pei,2020,"Zibo, China",992656,2022-11-25T07:00:00.000Z
La Mistica  / SUPERVOID,2022,"Rome, Italy",992729,2022-11-25T06:00:00.000Z
Pavilion Brekstad / ASAS arkitektur,2022,"Brekstad, Norway",992672,2022-11-25T03:00:00.000Z
"A House, Coach House & Garden / Culligan Architects",2019,"Dublin, Ireland",992722,2022-11-25T02:00:00.000Z
Aire Pavilion  / P+S Estudio de Arquitectura,2022,"Granada, Spain",992736,2022-11-25T01:00:00.000Z
Kotobuki Hotel / micelle,2020,"Kagoshima, Japan",992712,2022-11-25T00:00:00.000Z
Baan Nakhonnayok Riverside House / Sata Na Architect,2022,"Nakhon Nayok, Thailand",992718,2022-11-24T22:00:00.000Z
The Grave of Kamakura Yukinoshita Church / Takeshi Hosaka Architects,2020,"Yokohama, Japan",992582,2022-11-24T20:00:00.000Z
Mérida Banking and Commercial School / IUA Ignacio Urquiza Arquitectos,2021,"Mérida, Mexico",992536,2022-11-24T18:00:00.000Z
Rove House / The Ranch Mine,2022,"Paradise Valley, United States",992671,2022-11-24T16:00:00.000Z
Cata-vento House / Equipe Lamas,2022,"Brasilia, Brazil",992629,2022-11-24T14:00:00.000Z
The Bruc Apartment / Cometa Architects,2022,"Barcelona, Spain",992696,2022-11-24T12:00:00.000Z
Thalwil House / Harry Gugger Studio,2021,"Thalwil, Switzerland",992681,2022-11-24T10:00:00.000Z
Martha House / Arquitectura nativa,2021,"La Misión, Mexico",992693,2022-11-24T07:00:00.000Z
Brewery Reconversion / AUX bureau voor architectuur en stedenbouw,2022,"Ghent, Belgium",992678,2022-11-24T06:00:00.000Z
Architecture Classics: La Purísima Church in Monterrey / Enrique de la Mora y Palomar,1941,,992548,2022-11-24T04:30:00.000Z
Alfa Vagia Beach Houses / Zapantiotis Fotis Associated Architects,2022,"Vagia, Greece",992662,2022-11-24T03:00:00.000Z
Maine-et-Loire Archives Storage Extension / Magnum architectes & urbanistes,2022,"Angers, France",992674,2022-11-24T02:00:00.000Z
Brick House / State of Kin,2018,"Mount Lawley, Australia",992658,2022-11-24T01:00:00.000Z
Wuxiang 987 High Line Park / Ningbo Urban Construction Design & Research Institute,2021,"Ningbo, China",992585,2022-11-24T00:00:00.000Z
Anwar Gargash Diplomatic Academy UAE / Shape Architecture Practice + Research,2021,"Abu Dhabi, United Arab Emirates",992578,2022-11-23T22:00:00.000Z
Villa UONUMA / Tsutsumi & Associates,2022,"Minamiuonuma, Japan",992544,2022-11-23T20:00:00.000Z
Laid House / Dan and Hila Israelevitz Architects,2022,Israel,992586,2022-11-23T18:00:00.000Z
Six Houses on the Hillside / 226 arquitectos,2022,"Villa Allende, Argentina",992408,2022-11-23T16:00:00.000Z
Granary House in Arouca / Marta Brandão + Mimahousing,2022,"Arouca, Portugal",992660,2022-11-23T14:00:00.000Z
Conversion of Jurkovič Heating Plant National Cultural Monument / df creative group,2021,"Bratislava, Slovakia",992661,2022-11-23T12:00:00.000Z
